iteration,direction,points_sent,points_received,time
1,down,49,49,4.00543212890625e-05
2,left,49,49,1.6927719116210938e-05
3,down,49,49,1.8596649169921875e-05
4,left,49,49,3.814697265625e-06
5,down,49,49,2.002716064453125e-05
6,left,49,49,0.0017211437225341797
7,down,49,49,1.0728836059570312e-05
8,left,49,49,0.0017132759094238281
9,down,49,49,5.0067901611328125e-06
10,left,49,49,2.384185791015625e-06
11,down,49,49,2.6226043701171875e-06
12,left,49,49,5.9604644775390625e-06
13,down,49,49,2.1457672119140625e-06
14,left,49,49,2.1457672119140625e-06
15,down,49,49,1.9073486328125e-06
16,left,49,49,2.384185791015625e-06
17,down,49,49,3.5762786865234375e-06
18,left,49,49,1.9073486328125e-06
19,down,49,49,1.1444091796875e-05
20,left,49,49,0.0016891956329345703
21,down,49,49,2.6226043701171875e-06
22,left,49,49,2.1457672119140625e-06
23,down,49,49,2.86102294921875e-06
24,left,49,49,2.384185791015625e-06
25,down,49,49,1.9073486328125e-06
26,left,49,49,1.9073486328125e-06
27,down,49,49,1.9073486328125e-06
28,left,49,49,1.9073486328125e-06
29,down,49,49,1.6689300537109375e-06
30,left,49,49,1.9073486328125e-06
31,down,49,49,8.106231689453125e-06
32,left,49,49,0.0016634464263916016
33,down,49,49,1.9073486328125e-06
34,left,49,49,1.9073486328125e-06
35,down,49,49,1.9073486328125e-06
36,left,49,49,1.9073486328125e-06
37,down,49,49,2.1457672119140625e-06
38,left,49,49,1.430511474609375e-06
39,down,49,49,2.1457672119140625e-06
40,left,49,49,1.430511474609375e-06
41,down,49,49,2.1457672119140625e-06
42,left,49,49,2.6226043701171875e-06
43,down,49,49,1.9073486328125e-06
44,left,49,49,1.6689300537109375e-06
45,down,49,49,2.1457672119140625e-06
46,left,49,49,1.6689300537109375e-06
47,down,49,49,2.1457672119140625e-06
48,left,49,49,2.1457672119140625e-06
49,down,49,49,1.9073486328125e-06
50,left,49,49,1.6689300537109375e-06
51,down,49,49,1.9073486328125e-06
52,left,49,49,2.1457672119140625e-06
53,down,49,49,2.1457672119140625e-06
54,left,49,49,2.1457672119140625e-06
55,down,49,49,1.9073486328125e-06
56,left,49,49,1.9073486328125e-06
57,down,49,49,1.6689300537109375e-06
58,left,49,49,1.9073486328125e-06
59,down,49,49,1.6689300537109375e-06
60,left,49,49,1.9073486328125e-06
61,down,49,49,1.6689300537109375e-06
62,left,49,49,1.9073486328125e-06
63,down,49,49,1.6689300537109375e-06
64,left,49,49,1.9073486328125e-06
65,down,49,49,1.9073486328125e-06
66,left,49,49,1.6689300537109375e-06
67,down,49,49,2.1457672119140625e-06
68,left,49,49,1.6689300537109375e-06
69,down,49,49,1.5974044799804688e-05
70,left,49,49,3.5762786865234375e-06
71,down,49,49,2.1457672119140625e-06
72,left,49,49,1.6689300537109375e-06
73,down,49,49,1.9073486328125e-06
74,left,49,49,1.6689300537109375e-06
75,down,49,49,1.6689300537109375e-06
76,left,49,49,1.6689300537109375e-06
77,down,49,49,1.6689300537109375e-06
78,left,49,49,1.6689300537109375e-06
79,down,49,49,1.6689300537109375e-06
80,left,49,49,1.9073486328125e-06
81,down,49,49,1.6689300537109375e-06
82,left,49,49,1.6689300537109375e-06
83,down,49,49,2.384185791015625e-06
84,left,49,49,0.001680612564086914
85,down,49,49,1.9073486328125e-06
86,left,49,49,1.430511474609375e-06
87,down,49,49,1.9073486328125e-06
88,left,49,49,1.9073486328125e-06
89,down,49,49,2.1457672119140625e-06
90,left,49,49,1.6689300537109375e-06
91,down,49,49,1.6689300537109375e-06
92,left,49,49,1.6689300537109375e-06
93,down,49,49,1.9073486328125e-06
94,left,49,49,1.9073486328125e-06
95,down,49,49,1.9073486328125e-06
96,left,49,49,1.6689300537109375e-06
97,down,49,49,1.9073486328125e-06
98,left,49,49,1.9073486328125e-06
99,down,49,49,2.1457672119140625e-06
100,left,49,49,1.9073486328125e-06
101,down,49,49,2.384185791015625e-06
102,left,49,49,1.430511474609375e-06
103,down,49,49,2.1457672119140625e-06
104,left,49,49,1.6689300537109375e-06
105,down,49,49,5.9604644775390625e-06
106,left,49,49,1.9073486328125e-06
107,down,49,49,2.384185791015625e-06
108,left,49,49,1.9073486328125e-06
109,down,49,49,1.9073486328125e-06
110,left,49,49,1.6689300537109375e-06
111,down,49,49,2.1457672119140625e-06
112,left,49,49,1.9073486328125e-06
113,down,49,49,1.9073486328125e-06
114,left,49,49,1.6689300537109375e-06
115,down,49,49,2.384185791015625e-06
116,left,49,49,2.384185791015625e-06
117,down,49,49,1.9073486328125e-06
118,left,49,49,1.6689300537109375e-06
119,down,49,49,1.6689300537109375e-06
120,left,49,49,1.9073486328125e-06
121,down,49,49,1.9073486328125e-06
122,left,49,49,1.6689300537109375e-06
123,down,49,49,1.9073486328125e-06
124,left,49,49,2.1457672119140625e-06
125,down,49,49,1.9073486328125e-06
126,left,49,49,1.6689300537109375e-06
127,down,49,49,2.1457672119140625e-06
128,left,49,49,1.6689300537109375e-06
129,down,49,49,1.9073486328125e-06
130,left,49,49,1.9073486328125e-06
131,down,49,49,1.9073486328125e-06
132,left,49,49,2.1457672119140625e-06
133,down,49,49,1.4066696166992188e-05
134,left,49,49,1.430511474609375e-06
135,down,49,49,1.6689300537109375e-06
136,left,49,49,1.9073486328125e-06
137,down,49,49,1.9073486328125e-06
138,left,49,49,1.430511474609375e-06
139,down,49,49,1.6689300537109375e-06
140,left,49,49,1.6689300537109375e-06
141,down,49,49,1.6689300537109375e-06
142,left,49,49,1.6689300537109375e-06
143,down,49,49,1.430511474609375e-06
144,left,49,49,1.6689300537109375e-06
145,down,49,49,1.9073486328125e-06
146,left,49,49,1.6689300537109375e-06
147,down,49,49,1.6689300537109375e-06
148,left,49,49,1.6689300537109375e-06
149,down,49,49,1.9073486328125e-06
150,left,49,49,1.6689300537109375e-06
151,down,49,49,1.6689300537109375e-06
152,left,49,49,1.9073486328125e-06
153,down,49,49,1.430511474609375e-06
154,left,49,49,1.9073486328125e-06
155,down,49,49,1.9073486328125e-06
156,left,49,49,1.430511474609375e-06
157,down,49,49,1.6689300537109375e-06
158,left,49,49,1.9073486328125e-06
159,down,49,49,1.9073486328125e-06
160,left,49,49,1.430511474609375e-06
161,down,49,49,1.6689300537109375e-06
162,left,49,49,1.6689300537109375e-06
163,down,49,49,1.6689300537109375e-06
164,left,49,49,1.6689300537109375e-06
165,down,49,49,1.6689300537109375e-06
166,left,49,49,1.9073486328125e-06
167,down,49,49,1.9073486328125e-06
168,left,49,49,1.6689300537109375e-06
169,down,49,49,1.430511474609375e-06
170,left,49,49,1.6689300537109375e-06
171,down,49,49,1.9073486328125e-06
172,left,49,49,1.430511474609375e-06
173,down,49,49,1.6689300537109375e-06
174,left,49,49,1.9073486328125e-06
175,down,49,49,1.6689300537109375e-06
176,left,49,49,1.6689300537109375e-06
177,down,49,49,1.6689300537109375e-06
178,left,49,49,2.1457672119140625e-06
179,down,49,49,1.6689300537109375e-06
180,left,49,49,1.6689300537109375e-06
181,down,49,49,1.430511474609375e-06
182,left,49,49,1.9073486328125e-06
183,down,49,49,1.430511474609375e-06
184,left,49,49,1.9073486328125e-06
185,down,49,49,1.6689300537109375e-06
186,left,49,49,1.6689300537109375e-06
187,down,49,49,2.1457672119140625e-06
188,left,49,49,1.6689300537109375e-06
189,down,49,49,1.430511474609375e-06
190,left,49,49,1.9073486328125e-06
191,down,49,49,1.6689300537109375e-06
192,left,49,49,1.9073486328125e-06
193,down,49,49,1.6689300537109375e-06
194,left,49,49,1.6689300537109375e-06
195,down,49,49,1.9073486328125e-06
196,left,49,49,1.430511474609375e-06
197,down,49,49,1.5974044799804688e-05
198,left,49,49,1.430511474609375e-06
199,down,49,49,1.6689300537109375e-06
200,left,49,49,1.430511474609375e-06
201,down,49,49,1.6689300537109375e-06
202,left,49,49,1.9073486328125e-06
203,down,49,49,1.6689300537109375e-06
204,left,49,49,1.6689300537109375e-06
205,down,49,49,1.9073486328125e-06
206,left,49,49,1.6689300537109375e-06
207,down,49,49,1.6689300537109375e-06
