rank,start_x,end_x,start_y,end_y,local_nx,local_ny,iterations,exec_time,comm_time,overhead,final_error,U,iteration,neighbor,direction,n_points
0,1.0,25.0,1.0,25.0,24.0,24.0,1335.0,13.962504376999732,0.03462878600157637,0.0024801271366918934,9.995170272445168e-07,"[[ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.        ]
 [ 0.         -0.00409313 -0.00811905 -0.01201166 -0.01570703 -0.0191445
  -0.02226761 -0.02502509 -0.02737166 -0.02926879 -0.03068532 -0.031598
  -0.03199185 -0.03186039 -0.03120578 -0.03003877 -0.02837853 -0.02625231
  -0.02369503 -0.02074868 -0.01746164 -0.01388788 -0.01008608 -0.00611866
  -0.00205078  0.00205077]
 [ 0.         -0.00811905 -0.01610479 -0.02382608 -0.03115615 -0.03797464
  -0.04416959 -0.04963927 -0.05429388 -0.05805698 -0.06086679 -0.06267717
  -0.06345839 -0.06319762 -0.06189916 -0.05958431 -0.05629108 -0.05207356
  -0.047001   -0.04115667 -0.03463656 -0.02754772 -0.02000654 -0.01213685
  -0.00406788  0.00406787]
 [ 0.         -0.01201166 -0.02382608 -0.03524928 -0.04609369 -0.05618124
  -0.0653463  -0.07343837 -0.08032459 -0.08589188 -0.09004883 -0.09272717
  -0.09388294 -0.09349716 -0.09157615 -0.08815147 -0.08327934 -0.07703977
  -0.0695352  -0.06088887 -0.05124275 -0.04075522 -0.02959849 -0.01795576
  -0.00601819  0.00601818]
 [ 0.         -0.01570703 -0.03115615 -0.04609369 -0.06027437 -0.07346535
  -0.08545003 -0.09603162 -0.10503638 -0.11231644 -0.11775226 -0.1212546
  -0.12276595 -0.12226147 -0.11974947 -0.11527119 -0.10890015 -0.10074098
  -0.09092765 -0.07962128 -0.06700754 -0.05329353 -0.03870444 -0.02347983
  -0.00786968  0.00786967]
 [ 0.         -0.0191445  -0.03797464 -0.05618124 -0.07346535 -0.08954316
  -0.10415067 -0.11704803 -0.12802347 -0.13689676 -0.14352221 -0.14779104
  -0.14963313 -0.14901826 -0.14595651 -0.14049816 -0.13273283 -0.12278803
  -0.11082706 -0.09704631 -0.08167206 -0.06495676 -0.04717487 -0.02861837
  -0.00959196  0.00959194]
 [ 0.         -0.02226761 -0.04416959 -0.0653463  -0.08545003 -0.10415067
  -0.12114116 -0.13614252 -0.14890842 -0.15922924 -0.16693553 -0.17190074
  -0.17404335 -0.17332817 -0.16976694 -0.16341815 -0.15438603 -0.1428189
  -0.12890669 -0.11287784 -0.09499553 -0.0755534  -0.05487068 -0.03328699
  -0.01115673  0.01115671]
 [ 0.         -0.02502509 -0.04963927 -0.07343837 -0.09603162 -0.11704803
  -0.13614252 -0.15300155 -0.16734829 -0.17894719 -0.18760777 -0.19318785
  -0.19559578 -0.19479203 -0.19078981 -0.18365482 -0.17350422 -0.16050469
  -0.14486968 -0.12685591 -0.10675917 -0.08490945 -0.06166552 -0.03740904
  -0.01253831  0.01253828]
 [ 0.         -0.02737166 -0.05429388 -0.08032459 -0.10503638 -0.12802347
  -0.14890842 -0.16734829 -0.18304032 -0.19572682 -0.2051995  -0.21130281
  -0.21393653 -0.21305742 -0.20867991 -0.20087588 -0.18977348 -0.175555
  -0.15845392 -0.13875102 -0.11676984 -0.0928713  -0.06744781 -0.04091684
  -0.01371401  0.01371398]
 [ 0.         -0.02926879 -0.05805698 -0.08589188 -0.11231644 -0.13689676
  -0.15922924 -0.17894719 -0.19572682 -0.20929263 -0.21942186 -0.22594819
  -0.22876445 -0.22782441 -0.22314349 -0.21479857 -0.20292666 -0.1877227
  -0.16943634 -0.14836784 -0.12486314 -0.0993082  -0.07212261 -0.04375278
  -0.01466452  0.01466449]
 [ 0.         -0.03068532 -0.06086679 -0.09004883 -0.11775226 -0.14352221
  -0.16693553 -0.18760777 -0.2051995  -0.21942186 -0.23004131 -0.2368835
  -0.23983606 -0.23885052 -0.23394307 -0.22519427 -0.21274779 -0.196808
  -0.17763663 -0.15554846 -0.1309062  -0.10411446 -0.07561316 -0.0458703
  -0.01537425  0.01537422]
 [ 0.         -0.031598   -0.06267717 -0.09272717 -0.1212546  -0.14779104
  -0.17190074 -0.19318785 -0.21130281 -0.22594819 -0.2368835  -0.24392919
  -0.24696957 -0.24595472 -0.2409013  -0.23189229 -0.21907561 -0.20266172
  -0.18292012 -0.16017499 -0.13479978 -0.10721117 -0.07786215 -0.04723463
  -0.01583153  0.0158315 ]
 [ 0.         -0.03199185 -0.06345839 -0.09388294 -0.12276595 -0.14963313
  -0.17404335 -0.19559578 -0.21393653 -0.22876445 -0.23983606 -0.24696957
  -0.25004785 -0.24902035 -0.24390395 -0.23478264 -0.22180621 -0.20518773
  -0.18520008 -0.16217144 -0.13647995 -0.10854747 -0.07883264 -0.04782338
  -0.01602886  0.01602882]
 [ 0.         -0.03186039 -0.06319762 -0.09349716 -0.12226147 -0.14901826
  -0.17332817 -0.19479203 -0.21305742 -0.22782441 -0.23885052 -0.24595472
  -0.24902035 -0.24799707 -0.24290169 -0.23381787 -0.22089476 -0.20434457
  -0.18443905 -0.16150504 -0.13591913 -0.10810142 -0.0785087  -0.04762686
  -0.01596299  0.01596296]
 [ 0.         -0.03120578 -0.06189916 -0.09157615 -0.11974947 -0.14595651
  -0.16976694 -0.19078981 -0.20867991 -0.22314349 -0.23394307 -0.2409013
  -0.24390395 -0.24290169 -0.237911   -0.22901381 -0.21635623 -0.20014608
  -0.18064954 -0.15818674 -0.13312651 -0.10588036 -0.07689565 -0.04664831
  -0.01563501  0.01563498]
 [ 0.         -0.03003877 -0.05958431 -0.08815147 -0.11527119 -0.14049816
  -0.16341815 -0.18365482 -0.20087588 -0.21479857 -0.22519427 -0.23189229
  -0.23478264 -0.23381787 -0.22901381 -0.22044936 -0.20826513 -0.19266119
  -0.17389377 -0.15227101 -0.12814797 -0.10192074 -0.07401997 -0.0449038
  -0.01505031  0.01505028]
 [ 0.         -0.02837853 -0.05629108 -0.08327934 -0.10890015 -0.13273283
  -0.15438603 -0.17350422 -0.18977348 -0.20292666 -0.21274779 -0.21907561
  -0.22180621 -0.22089476 -0.21635623 -0.20826513 -0.19675432 -0.18201282
  -0.16428267 -0.143855   -0.12106523 -0.09628758 -0.06992889 -0.04242197
  -0.01421848  0.01421845]
 [ 0.         -0.02625231 -0.05207356 -0.07703977 -0.10074098 -0.12278803
  -0.1428189  -0.16050469 -0.175555   -0.1877227  -0.196808   -0.20266172
  -0.20518773 -0.20434457 -0.20014608 -0.19266119 -0.18201282 -0.16837579
  -0.15197405 -0.13307689 -0.11199461 -0.08907339 -0.06468958 -0.03924357
  -0.01315318  0.01315315]
 [ 0.         -0.02369503 -0.047001   -0.0695352  -0.09092765 -0.11082706
  -0.12890669 -0.14486968 -0.15845392 -0.16943634 -0.17763663 -0.18292012
  -0.18520008 -0.18443905 -0.18064954 -0.17389377 -0.16428267 -0.15197405
  -0.13717002 -0.12011366 -0.10108504 -0.08039661 -0.05838807 -0.03542079
  -0.01187191  0.01187189]
 [ 0.         -0.02074868 -0.04115667 -0.06088887 -0.07962128 -0.09704631
  -0.11287784 -0.12685591 -0.13875102 -0.14836784 -0.15554846 -0.16017499
  -0.16217144 -0.16150504 -0.15818674 -0.15227101 -0.143855   -0.13307689
  -0.12011366 -0.10517817 -0.08851566 -0.07039972 -0.05112782 -0.03101641
  -0.0103957   0.01039568]
 [ 0.         -0.01746164 -0.03463656 -0.05124275 -0.06700754 -0.08167206
  -0.09499553 -0.10675917 -0.11676984 -0.12486314 -0.1309062  -0.13479978
  -0.13647995 -0.13591913 -0.13312651 -0.12814797 -0.12106523 -0.11199461
  -0.10108504 -0.08851566 -0.07449285 -0.05924687 -0.04302806 -0.02610273
  -0.0087488   0.00874878]
 [ 0.         -0.01388788 -0.02754772 -0.04075522 -0.05329353 -0.06495676
  -0.0755534  -0.08490945 -0.0928713  -0.0993082  -0.10411446 -0.10721117
  -0.10854747 -0.10810142 -0.10588036 -0.10192074 -0.09628758 -0.08907339
  -0.08039661 -0.07039972 -0.05924687 -0.04712119 -0.03422178 -0.02076045
  -0.00695824  0.00695822]
 [ 0.         -0.01008608 -0.02000654 -0.02959849 -0.03870444 -0.04717487
  -0.05487068 -0.06166552 -0.06744781 -0.07212261 -0.07561316 -0.07786215
  -0.07883264 -0.0785087  -0.07689565 -0.07401997 -0.06992889 -0.06468958
  -0.05838807 -0.05112782 -0.04302806 -0.03422178 -0.02485358 -0.01507729
  -0.00505342  0.00505341]
 [ 0.         -0.00611866 -0.01213685 -0.01795576 -0.02347983 -0.02861837
  -0.03328699 -0.03740904 -0.04091684 -0.04375278 -0.0458703  -0.04723463
  -0.04782338 -0.04762686 -0.04664831 -0.0449038  -0.04242197 -0.03924357
  -0.03542079 -0.03101641 -0.02610273 -0.02076045 -0.01507729 -0.00914655
  -0.00306563  0.00306562]
 [ 0.         -0.00205078 -0.00406788 -0.00601819 -0.00786968 -0.00959196
  -0.01115673 -0.01253831 -0.01371401 -0.01466452 -0.01537425 -0.01583153
  -0.01602886 -0.01596299 -0.01563501 -0.01505031 -0.01421848 -0.01315318
  -0.01187191 -0.0103957  -0.0087488  -0.00695824 -0.00505342 -0.00306563
  -0.0010275   0.0010275 ]
 [ 0.          0.00205077  0.00406787  0.00601818  0.00786967  0.00959194
   0.01115671  0.01253828  0.01371398  0.01466449  0.01537422  0.0158315
   0.01602882  0.01596296  0.01563498  0.01505028  0.01421845  0.01315315
   0.01187189  0.01039568  0.00874878  0.00695822  0.00505341  0.00306562
   0.0010275   0.        ]]",,,,
0,,,,,,,,,1.5790999896125868e-05,,,,1.0,1.0,up,24.0
0,,,,,,,,,5.660999704559799e-06,,,,1.0,2.0,right,24.0
0,,,,,,,,,8.582000191381667e-06,,,,2.0,1.0,up,24.0
0,,,,,,,,,8.01799978944473e-06,,,,2.0,2.0,right,24.0
0,,,,,,,,,1.363299998047296e-05,,,,3.0,1.0,up,24.0
0,,,,,,,,,3.692999598570168e-06,,,,3.0,2.0,right,24.0
0,,,,,,,,,1.3283000043884385e-05,,,,4.0,1.0,up,24.0
0,,,,,,,,,3.7999998312443495e-06,,,,4.0,2.0,right,24.0
0,,,,,,,,,1.4172999726724811e-05,,,,5.0,1.0,up,24.0
