rank,start_x,end_x,start_y,end_y,local_nx,local_ny,iterations,exec_time,comm_time,overhead,final_error,U,iteration,neighbor,direction,n_points
0,1.0,50.0,1.0,50.0,49.0,49.0,5374.0,13.021581813693047,0.05403913650661707,0.004149967129937423,9.980122506192401e-09,"[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.         -0.00100597 -0.00200788 ... -0.00150768 -0.00050324
   0.00050324]
 [ 0.         -0.00200788 -0.00400768 ... -0.00300929 -0.00100445
   0.00100445]
 ...
 [ 0.         -0.00150768 -0.00300929 ... -0.00225963 -0.00075422
   0.00075422]
 [ 0.         -0.00050324 -0.00100445 ... -0.00075422 -0.00025174
   0.00025174]
 [ 0.          0.00050324  0.00100445 ...  0.00075422  0.00025174
   0.        ]]",,,,
0,,,,,,,,,1.6733072698116302e-05,,,,1.0,1.0,up,49.0
0,,,,,,,,,1.1769123375415802e-05,,,,1.0,2.0,right,49.0
0,,,,,,,,,3.1375326216220856e-05,,,,2.0,1.0,up,49.0
0,,,,,,,,,3.1730160117149353e-06,,,,2.0,2.0,right,49.0
0,,,,,,,,,1.628231257200241e-05,,,,3.0,1.0,up,49.0
0,,,,,,,,,3.2139942049980164e-06,,,,3.0,2.0,right,49.0
0,,,,,,,,,4.4014304876327515e-06,,,,4.0,1.0,up,49.0
0,,,,,,,,,8.304603397846222e-06,,,,4.0,2.0,right,49.0
0,,,,,,,,,1.2868084013462067e-05,,,,5.0,1.0,up,49.0
0,,,,,,,,,1.4677643775939941e-06,,,,5.0,2.0,right,49.0
0,,,,,,,,,3.232620656490326e-06,,,,6.0,1.0,up,49.0
0,,,,,,,,,1.2880191206932068e-06,,,,6.0,2.0,right,49.0
0,,,,,,,,,3.928318619728088e-06,,,,7.0,1.0,up,49.0
0,,,,,,,,,1.428648829460144e-06,,,,7.0,2.0,right,49.0
0,,,,,,,,,2.6402994990348816e-06,,,,8.0,1.0,up,49.0
0,,,,,,,,,1.3066455721855164e-06,,,,8.0,2.0,right,49.0
0,,,,,,,,,2.4391338229179382e-06,,,,9.0,1.0,up,49.0
0,,,,,,,,,1.234002411365509e-06,,,,9.0,2.0,right,49.0
0,,,,,,,,,2.4512410163879395e-06,,,,10.0,1.0,up,49.0
0,,,,,,,,,1.278705894947052e-06,,,,10.0,2.0,right,49.0
