rank,start_x,end_x,start_y,end_y,local_nx,local_ny,iterations,exec_time,comm_time,overhead,final_error,iteration,neighbor,direction,n_points
0,1.0,25.0,1.0,25.0,24.0,24.0,348.0,0.2941805820000809,0.002387990996339795,0.00811743242910281,9.804260438228685e-09,,,,
0,,,,,,,,,1.4548999843100319e-05,,,1.0,1.0,up,24.0
0,,,,,,,,,4.833000275539234e-06,,,1.0,2.0,right,24.0
0,,,,,,,,,7.95500000094762e-06,,,2.0,1.0,up,24.0
0,,,,,,,,,5.803000021842308e-06,,,2.0,2.0,right,24.0
0,,,,,,,,,1.296700020247954e-05,,,3.0,1.0,up,24.0
0,,,,,,,,,5.615999725705478e-06,,,3.0,2.0,right,24.0
0,,,,,,,,,9.453000075154705e-06,,,4.0,1.0,up,24.0
0,,,,,,,,,1.0928999927273253e-05,,,4.0,2.0,right,24.0
0,,,,,,,,,5.517999852600042e-06,,,5.0,1.0,up,24.0
0,,,,,,,,,4.593000085151289e-06,,,5.0,2.0,right,24.0
0,,,,,,,,,4.825999894819688e-06,,,6.0,1.0,up,24.0
0,,,,,,,,,5.1740003073064145e-06,,,6.0,2.0,right,24.0
0,,,,,,,,,4.4899998101755045e-06,,,7.0,1.0,up,24.0
0,,,,,,,,,2.1910000214120373e-06,,,7.0,2.0,right,24.0
0,,,,,,,,,3.865000053338008e-06,,,8.0,1.0,up,24.0
0,,,,,,,,,2.271000084874686e-06,,,8.0,2.0,right,24.0
0,,,,,,,,,4.9809996198746376e-06,,,9.0,1.0,up,24.0
0,,,,,,,,,2.3030002012092154e-06,,,9.0,2.0,right,24.0
0,,,,,,,,,4.586000159179093e-06,,,10.0,1.0,up,24.0
0,,,,,,,,,3.373999788891524e-06,,,10.0,2.0,right,24.0
0,,,,,,,,,3.9480000850744545e-06,,,11.0,1.0,up,24.0
0,,,,,,,,,2.9439997888403013e-06,,,11.0,2.0,right,24.0
0,,,,,,,,,4.085999989911215e-06,,,12.0,1.0,up,24.0
0,,,,,,,,,3.2950001696008258e-06,,,12.0,2.0,right,24.0
0,,,,,,,,,4.2040001062559895e-06,,,13.0,1.0,up,24.0
0,,,,,,,,,2.9779998840240296e-06,,,13.0,2.0,right,24.0
0,,,,,,,,,3.7329996303014923e-06,,,14.0,1.0,up,24.0
0,,,,,,,,,3.977000233135186e-06,,,14.0,2.0,right,24.0
0,,,,,,,,,3.865000053338008e-06,,,15.0,1.0,up,24.0
0,,,,,,,,,2.090999714710051e-06,,,15.0,2.0,right,24.0
0,,,,,,,,,4.330000137997558e-06,,,16.0,1.0,up,24.0
0,,,,,,,,,7.705999905738281e-06,,,16.0,2.0,right,24.0
0,,,,,,,,,3.8090001908130944e-06,,,17.0,1.0,up,24.0
0,,,,,,,,,2.342999778193189e-06,,,17.0,2.0,right,24.0
0,,,,,,,,,3.83099995815428e-06,,,18.0,1.0,up,24.0
0,,,,,,,,,4.4749999688065145e-06,,,18.0,2.0,right,24.0
0,,,,,,,,,4.031000116810901e-06,,,19.0,1.0,up,24.0
0,,,,,,,,,2.4239998310804367e-06,,,19.0,2.0,right,24.0
0,,,,,,,,,4.17199998992146e-06,,,20.0,1.0,up,24.0
0,,,,,,,,,2.226000106020365e-06,,,20.0,2.0,right,24.0
0,,,,,,,,,3.877999915857799e-06,,,21.0,1.0,up,24.0
0,,,,,,,,,2.6580000849207863e-06,,,21.0,2.0,right,24.0
